word,uses,positives,negatives,pos fraction,neg fraction,rel positivity,rel negativity
downtown,3,1,1,0.3333333333333333,0.3333333333333333,2.065171392297926,0.5317062540858575
los,2,1,1,0.5,0.5,3.0977570884468895,0.7975593811287862
hollywood,1,1,0,1.0,0.0,6.195514176893779,0.0
beyond,40,12,26,0.3,0.65,1.8586542530681336,1.0368271954674222
rain,3,1,1,0.3333333333333333,0.3333333333333333,2.065171392297926,0.5317062540858575
flyer,21,0,18,0.0,0.8571428571428571,0.0,1.3672446533636333
hard,49,10,38,0.20408163265306123,0.7755102040816326,1.264390648345669,1.2370308768528113
getting,245,32,182,0.1306122448979592,0.7428571428571429,0.8092100149412284,1.1849453662484823
plz,24,1,17,0.041666666666666664,0.7083333333333334,0.25814642403724075,1.1298757899324472
help,509,44,348,0.08644400785854617,0.6836935166994106,0.53556507619514,1.0905723561210907
win,16,5,3,0.3125,0.1875,1.9360981802793058,0.2990847679232948
bid,1,0,0,0.0,0.0,0.0,0.0
upgrade,76,13,44,0.17105263157894737,0.5789473684210527,1.059759003942357,0.9234898097280683
unused,5,0,4,0.0,0.8,0.0,1.276095009806058
ticket,190,11,133,0.05789473684210526,0.7,0.3586876628727977,1.1165831335803007
moved,39,6,28,0.15384615384615385,0.717948717948718,0.9531560272144275,1.14521347033877
new,267,55,136,0.20599250936329588,0.5093632958801498,1.2762295120942242,0.8124949500637823
city,32,2,27,0.0625,0.84375,0.3872196360558612,1.3458814556548266
leaving,76,4,51,0.05263157894736842,0.6710526315789473,0.3260796935207252,1.0704086430938973
dallas,61,9,34,0.14754098360655737,0.5573770491803278,0.9140922556072788,0.8890825887993026
seattle,15,4,6,0.26666666666666666,0.4,1.652137113838341,0.638047504903029
feb,23,1,11,0.043478260869565216,0.4782608695652174,0.26937018160407733,0.7628828862970999
dream,5,2,1,0.4,0.2,2.4782056707575117,0.3190237524515145
wow,21,9,11,0.42857142857142855,0.5238095238095238,2.655220361525905,0.8355383992777761
blew,3,2,1,0.6666666666666666,0.3333333333333333,4.130342784595852,0.5317062540858575
